operator_id,input_product_ids,output_observable,required_metadata,principal_benchmarks,status
op.field.point-probe,plume.field.local-state@1,State values at disclosed probe coordinates.,probe position/orientation; quantity; temporal averaging; unit definition,CJ-UEJ-001;RP-RETALT-001;RP-IMP-001,required
op.field.profile-probe,plume.field.local-state@1,"Profiles sampled along experimental lines or r/R,h/R stations.",coordinate normalization; probe geometry; averaging; source uncertainty,RW-IGE-001;CJ-UEJ-001,required
op.field.piv-plane,plume.field.local-state@1,PIV-plane 2C/3C velocity and derived vortex quantities.,plane pose; vector spacing; masking; phase/azimuth; processing kernel,RW-VORTEX-001;RP-HOTWAKE-001,pending_data_for_full_use
op.visual.feature-extractor,plume.visual.sectioned-tube@1;plume.field.local-state@1,"Shock-cell centers, Mach-disk position, centerline curvature, width, length, and coherent-feature channels.",feature definition; threshold/topology rule; coordinate frame; uncertainty,CJ-UEJ-001;RP-HOTWAKE-001;RP-IR-001;RP-RETALT-001,required
op.visual.support-envelope,plume.visual.sectioned-tube@1;plume.spatial.support@1;plume.field.local-state@1,Conservative support or velocity/temperature/optical threshold envelope.,threshold definition; conservatism rule; frame; time/statistic,RW-IGE-001;FW-DWOW-001;RW-VORTEX-001,required
op.sensor.los-fov-spectrum,plume.optical.spectral-ray-transfer@1,"Spectral radiance after line-of-sight, field-of-view, spatial, spectral, and atmospheric integration.",observer pose/range; FOV; spectral response; atmosphere; integration footprint,RP-BSUV2-001;RP-IR-001;RP-EMAP-RAD-001,required
op.sensor.bandpass-detector,plume.optical.spectral-ray-transfer@1;plume.signature.spectral-radiant-intensity@1,"Band-integrated radiance, radiant intensity, irradiance, or detector response.",spectral response; aperture/solid angle; range; atmosphere; calibration,RP-ALSI-001;RP-IR-001;RP-EMAP-RAD-001,required
op.ray.projected-area-signature,plume.optical.spectral-ray-transfer@1;plume.spatial.support@1,Intrinsic unresolved J_lambda from complete projected-area integration of source radiance.,complete projected integration domain; quadrature; direction; source-only radiance,cross-product suite,required_cross_product
op.ray.transmissometer,plume.optical.medium@1,"Transmission, optical depth, or path-averaged extinction at instrument wavelengths.",path geometry; wavelength; particle assumptions; inversion convention,RP-FASTRAC-001,required
op.ray.surface-radiometer,plume.optical.spectral-ray-transfer@1;plume.engineering.surface-response@1,Incident spectral/band/total radiative heat flux at a surface or Gardon gauge.,surface pose; view factor; spectral range; gauge response; time response,RP-EMAP-RAD-001;RP-IMP-001,required
op.particle.collection-treatment,plume.particles.population@1,Collected and treated particle-size distribution matching the experiment protocol.,probe position; exposure; collection efficiency; treatment; weighting convention,RP-PART-001;RP-PART-002,required
op.particle.l2f-counter,plume.particles.population@1,Laser-2-Focus visible-window count curve from particle trajectories.,sampling volume; detection limits; bins; visible plotting window; event count semantics,RP-PVEL-001,required
op.engineering.statistical-envelope,plume.field.local-state@1;plume.engineering.surface-response@1;plume.spatial.support@1,"Maxima, moving statistics, vertical decay, or hazard envelope matching the report statistic.",time window; statistic; sensor identity/distance; ambient subtraction policy,FW-DWOW-001,required
op.surface.sensor-array,plume.field.local-state@1;plume.optical.spectral-ray-transfer@1;plume.engineering.surface-response@1,"Pressure coefficient, surface temperature response, heat flux, and force at disclosed sensors.",sensor pose; response model; normalization; cooling/conjugate assumptions,RP-RETALT-001;RP-IMP-001;RW-IGE-001,required
op.temporal.frequency-feature,plume.visual.sectioned-tube@1;plume.field.local-state@1;plume.engineering.surface-response@1,"Named spectral peaks, bands, Strouhal numbers, and mode symmetry.",sample rate; window; reference length/velocity; feature definition,RP-HOTWAKE-001;RP-RETALT-001,required
op.atmosphere.path-transfer,plume.optical.spectral-ray-transfer@1;plume.signature.spectral-radiant-intensity@1,Atmospherically attenuated apparent source quantity without changing intrinsic product semantics.,path length; atmosphere profile; wavelength grid; line-of-sight geometry,RP-IR-001;RP-BSUV2-001,required
